Designator,Mid X,Mid Y,Rotation,Layer
A1,154.911884,-73.599999,270.0,bottom
D1,125.127414,-83.575816,315.0,bottom
D10,173.627364,-95.457196,315.0,bottom
D11,141.627414,-107.575816,315.0,bottom
D12,155.127414,-109.575816,315.0,bottom
D13,168.627414,-107.575816,315.0,bottom
D14,136.707196,-119.103464,315.0,bottom
D18,173.707196,-119.103464,315.0,bottom
D2,140.127414,-83.575816,315.0,bottom
D3,155.127414,-83.575816,315.0,bottom
D4,170.127414,-83.575816,315.0,bottom
D5,185.127414,-83.575816,315.0,bottom
D6,136.127414,-95.575816,315.0,bottom
D7,148.627364,-95.457196,315.0,bottom
D9,161.127364,-95.457196,315.0,bottom
SW1,155.1182,-70.906993,0.0,bottom
TP1,146.6,-67.2,0.0,bottom
TP2,163.7,-67.2,0.0,bottom
U1,155.097064,-51.301,0.0,bottom
