Name,Price,Purpose,Link
Seeed Studio XIAO ESP32-S3,$4.60,microcontroller,https://www.aliexpress.us/item/3256806801590776.html?spm=a2g0o.productlist.main.3.27dbMuCNMuCNmp&algo_pvid=03b4909f-681b-4fa7-8cb4-f87c5c62319a&algo_exp_id=03b4909f-681b-4fa7-8cb4-f87c5c62319a-2&pdp_ext_f=%7B%22order%22%3A%221357%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21GBP%2116.56%216.79%21%21%21144.76%2159.36%21%40211b441e17817936501085846ecf5d%2112000056625194546%21sea%21UK%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A7683b1f4%3Bm03_new_user%3A-29895&curPageLogUid=GbnsKMYMMvNn&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006987905528%7C_p_origin_prod%3A&gatewayAdapt=glo2usa4itemAdapt
SK6812 Mini E,$2.42,RGB LEDs that glow :D,https://www.aliexpress.us/item/3256805007401420.html?spm=a2g0o.detail.0.0.5cb3uyKouyKopu&mp=1&pdp_npi=6%40dis%21USD%21USD+2.48%21USD+2.42%21%21USD+2.42%21%21%21%40210337c117818385429058202e5e78%2112000032072424633%21ct%21US%216388337753%21%211%210%21&gatewayAdapt=glo2usa
MPU6050,$2.88 (Already Owned),gyroscope/accelerometer that senses motion/tilt,https://www.aliexpress.us/item/3256812014348809.html?spm=a2g0o.productlist.main.8.687f3357QlXbP7&aem_p4p_detail=202606182010121690449110162100000052262&algo_pvid=17fd1714-7ee3-4624-ac60-5931565d19e2&algo_exp_id=17fd1714-7ee3-4624-ac60-5931565d19e2-7&pdp_ext_f=%7B%22order%22%3A%2258%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.13%210.99%21%21%2121.15%216.71%21%402101dedf17818386124757254ef8a6%2112000057740581760%21sea%21US%216388337753%21X%211%210%21n_tag%3A-29919%3Bd%3A11a2266a%3Bm03_new_user%3A-29895%3BpisId%3A5000000204411062&curPageLogUid=7mJYeUUHuUoy&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012200663561%7C_p_origin_prod%3A&search_p4p_id=202606182010121690449110162100000052262_2
Slide Switch,$2.06 (Already Owned),serves as a toggle for power,https://www.aliexpress.us/item/3256806975868130.html?spm=a2g0o.productlist.main.2.4f996f7721nx4r&algo_pvid=ada99ed6-26ac-4173-9a49-19d973c52015&algo_exp_id=ada99ed6-26ac-4173-9a49-19d973c52015-1&pdp_ext_f=%7B%22order%22%3A%222542%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.08%210.99%21%21%212.08%210.99%21%402101c59117818387022067495e3a77%2112000039660071097%21sea%21US%216388337753%21X%211%210%21n_tag%3A-29919%3Bd%3A11a2266a%3Bm03_new_user%3A-29895%3BpisId%3A5000000207722247&curPageLogUid=15Y382B671XB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007162182882%7C_p_origin_prod%3A
PCB,$5.30,wires stuff together,JLCPCB
3.7V Battery,$5.44,powers the thingy,https://www.aliexpress.us/item/3256808031709894.html?spm=a2g0o.productlist.main.2.3bef651fwM06O9&algo_pvid=893311fd-180b-4092-b2e0-139b8341976d&algo_exp_id=893311fd-180b-4092-b2e0-139b8341976d-1&pdp_ext_f=%7B%22order%22%3A%229145%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2113.26%212.74%21%21%2189.48%2118.47%21%40210337c117818388844963045e5e90%2112000044269020513%21sea%21US%216388337753%21X%211%210%21n_tag%3A-29919%3Bd%3A11a2266a%3Bm03_new_user%3A-29895%3BpisId%3A5000000204411062&curPageLogUid=JW3njS3ESXuJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008218024646%7C_p_origin_prod%3A
3D printed case,$0,"holds the pcb in place and battery, look cool",printing myself
,,,
,Subtotal:,$22.70,
,Actual subtotal (taking away items already owned):,$17.76,
,Actual Total (Shipping + tax):,$31.50,
